date,P_m,N_M
2003-04-20,0.57142857,3.42857143
2003-05-20,1,4.57142857
2003-06-20,1,7.71428571
2003-07-20,0.85714286,8.71428571
2003-08-20,1,11
2003-09-20,1,11
2003-10-20,1.85714286,11.5714286
2003-11-20,2,13
2003-12-20,2.71428571,12.7142857
3/13/20,5,13.2857143
3/14/20,8,16.7142857
3/15/20,13.1428571,17
3/16/20,20,23
3/17/20,35.2857143,26.2857143
3/18/20,48.1428571,24.4285714
3/19/20,60.2857143,25
3/20/20,76.1428571,24.5714286
3/21/20,95.8571429,1034.85714
3/22/20,109.857143,1030.71429
3/23/20,109.571429,1810.14286
3/24/20,127.428571,2184.71429
3/25/20,133.142857,2538.42857
3/26/20,137.571429,2760.28571
3/27/20,145.857143,2966.28571
3/28/20,147.571429,2207
3/29/20,163.714286,2526.57143
3/30/20,192.857143,1741.14286
3/31/20,185.571429,2068
2004-01-20,183.714286,1816.85714
2004-02-20,187.571429,1741.85714
2004-03-20,202.857143,1864.14286
2004-04-20,191.857143,1674
2004-05-20,196.285714,1713.71429
2004-06-20,181.428571,1918.42857
2004-07-20,178,1366.71429
2004-08-20,175.857143,1355.71429
2004-09-20,176.571429,1358.57143
2004-10-20,173.714286,1286.28571
2004-11-20,199.285714,1443
2004-12-20,189.428571,1312.71429
4/13/20,198.571429,1355.85714
4/14/20,194.571429,1398.71429
4/15/20,206.428571,1373
4/16/20,213.857143,1399.14286
4/17/20,219.285714,1394.85714
4/18/20,219.714286,1420.85714
4/19/20,223,1414.57143
4/20/20,228.142857,1460.57143
4/21/20,236,1484.42857
4/22/20,242.428571,1512.71429
4/23/20,249,1495.57143
4/24/20,268.428571,1601.42857
4/25/20,273.857143,1749.71429
4/26/20,297.714286,1915
4/27/20,302,2027.71429
4/28/20,314.714286,2358.14286
4/29/20,336.714286,2637.85714
4/30/20,357.857143,2917
2005-01-20,328.142857,3193
2005-02-20,366.285714,3383.14286
2005-03-20,370.857143,3602.42857
2005-04-20,354.142857,3825.57143
2005-05-20,351.571429,4107.14286
2005-06-20,347.285714,4593
2005-07-20,352.714286,4792
2005-08-20,389.857143,5025
2005-09-20,377.571429,5461.85714
2005-10-20,381.571429,5472.42857
2005-11-20,402.571429,5509.42857
2005-12-20,398.571429,5317
5/13/20,404.285714,5128.42857
5/14/20,388.714286,4994.85714
5/15/20,377.285714,4949.71429
5/16/20,348.428571,4509
5/17/20,344,4463.28571
5/18/20,343.142857,4211.14286
5/19/20,341.571429,4131.14286
5/20/20,316.714286,3849
5/21/20,337.857143,4066.57143
5/22/20,349.714286,4119.85714
5/23/20,408.142857,4421.85714
5/24/20,459.428571,4770.28571
5/25/20,513.857143,5424
5/26/20,508.857143,5246.57143
5/27/20,638.142857,6090.71429
5/28/20,710.142857,6184
5/29/20,712.857143,5978.71429
5/30/20,838.142857,6883.57143
5/31/20,885.142857,6914.71429
2006-01-20,993.285714,7066
2006-02-20,1079.28571,7493.71429
2006-03-20,1006.57143,6904.85714
2006-04-20,1088.42857,6791.85714
2006-05-20,1215.85714,7330.85714
2006-06-20,1226.57143,7189.71429
2006-07-20,1286.71429,6820.57143
2006-08-20,1257.42857,6803.14286
2006-09-20,1289.57143,6878.42857
2006-10-20,1543,7188.57143
2006-11-20,1581.71429,7919.14286
2006-12-20,1739.85714,8281.57143
6/13/20,1967.28571,7952.28571
6/14/20,2191.42857,8791.85714
6/15/20,2385.57143,9285.71429
6/16/20,2554.42857,9521.71429
6/17/20,2726,9586
6/18/20,2721.42857,9135
6/19/20,2798.14286,9268.14286
6/20/20,2837,9678.28571
6/21/20,2893.28571,9887.71429
6/22/20,3074,9804.85714
6/23/20,2849.57143,8812.28571
6/24/20,3005.14286,10114.5714
6/25/20,3445.42857,10898.5714
6/26/20,3485,10321.1429
6/27/20,3615.71429,10464
6/28/20,3500.28571,10037
6/29/20,3454.42857,10040.7143
6/30/20,3844,11358.5714
2007-01-20,3697,10080.2857
2007-02-20,3503.14286,9564.57143
2007-03-20,3606.57143,9568
2007-04-20,3576.28571,9399.42857
2007-05-20,3625.28571,9872.14286
2007-06-20,3482.57143,9633.14286
2007-07-20,3197.57143,8886
2007-08-20,3286.14286,10020.4286
2007-09-20,3248.57143,10307.4286
2007-10-20,3134.57143,10609
2007-11-20,3090.14286,10589.4286
2007-12-20,3047.85714,9523.71429
7/13/20,3022.42857,9807.14286
7/14/20,3051.28571,9962.57143
7/15/20,2940.85714,9305.28571
7/16/20,2750.71429,8394.85714
7/17/20,2618.71429,7873.71429
7/18/20,2539.71429,7724.42857
7/19/20,2682.28571,9548.85714
7/20/20,2627.14286,8962
7/21/20,2663.42857,9452.28571
7/22/20,2464.42857,9430.57143
7/23/20,2523.42857,9969.14286
7/24/20,2550.57143,10385.5714
7/25/20,2529.85714,11316.7143
7/26/20,2423,10582.8571
7/27/20,2350.42857,10410.2857
7/28/20,2238.57143,10059.2857
7/29/20,2081.57143,9391.71429
7/30/20,1990,10026.1429
7/31/20,1835.57143,9964.14286
2008-01-20,1577.57143,8579.85714
2008-02-20,1300.71429,8395.14286
2008-03-20,1208,8239.85714
2008-04-20,1146.57143,7969.57143
2008-05-20,1176,8257
2008-06-20,1034.28571,7349.42857
2008-07-20,1021,7881
2008-08-20,952.571429,8008.85714
2008-09-20,935.285714,7731.85714
2008-10-20,944.857143,8971
2008-11-20,926,9096.42857
2008-12-20,883.285714,8648.42857
8/13/20,873.428571,8699.57143
8/14/20,783.714286,7825.57143
8/15/20,739.714286,7890.71429
8/16/20,748.714286,8814.57143
8/17/20,652.285714,7761.28571
8/18/20,629.857143,7775
8/19/20,621.857143,7693.42857
8/20/20,557.428571,7395.57143
8/21/20,551.285714,7518
8/22/20,537,7475.71429
8/23/20,484.571429,6407.14286
8/24/20,508.285714,6430.57143
8/25/20,488.714286,6255.14286
8/26/20,438.428571,6245.28571
8/27/20,486,6230.71429
8/28/20,544.857143,6302.42857
8/29/20,574.714286,6975.42857
8/30/20,604.142857,8024.28571
8/31/20,586.428571,7924.57143
2009-01-20,589.857143,7834.14286
2009-02-20,529,7700.85714
2009-03-20,525.714286,7370
2009-04-20,435.571429,6689.42857
2009-05-20,406,5664.85714
2009-06-20,373.142857,4763.14286
2009-07-20,392.285714,4910.42857
2009-08-20,394.428571,4929.42857
2009-09-20,452,6077.28571
2009-10-20,480.857143,7985.42857
2009-11-20,665.428571,10784.2857
2009-12-20,774.142857,11068
9/13/20,774.714286,11286.7143
9/14/20,786.571429,11754.4286
9/15/20,789.428571,12110.2857
9/16/20,805.285714,11816.1429
9/17/20,768.142857,10861.1429
9/18/20,598.857143,9049
9/19/20,489.285714,8897.14286
9/20/20,467.857143,8891.85714
9/21/20,459.857143,8671.71429
9/22/20,465.571429,8433
9/23/20,476.857143,7728.28571
9/24/20,460.428571,7008.42857
9/25/20,480,7456.42857
9/26/20,485.142857,7394.28571
9/27/20,510.428571,7229.42857
9/28/20,502.428571,7070.85714
9/29/20,508.571429,7256.85714
9/30/20,535.714286,7766.71429
2010-01-20,575.857143,8186.71429
2010-02-20,598.428571,7962.71429
2010-03-20,617.285714,8683
2010-04-20,654.142857,9067.42857
2010-05-20,688.714286,9341.42857
2010-06-20,711.428571,9503
2010-07-20,685.714286,9296.28571
2010-08-20,728.142857,9380.28571
2010-09-20,763.857143,9263.14286
2010-10-20,771.714286,8683.28571
2010-11-20,775.571429,8501.42857
2010-12-20,796.285714,8509.57143
10/13/20,835.285714,8577.57143
10/14/20,886.142857,8618.28571
10/15/20,896.714286,8883.14286
10/16/20,879.714286,8808
10/17/20,913.714286,9428.57143
10/18/20,909.285714,9536.42857
10/19/20,1002,9806.42857
10/20/20,1009.57143,9745.28571
10/21/20,1026.42857,10052.1429
10/22/20,1036.14286,9574.57143
10/23/20,1082,9975.71429
10/24/20,1166.14286,9965.42857
10/25/20,1310.57143,9889.85714
10/26/20,1330,10066.4286
10/27/20,1310.71429,9865.85714
10/28/20,1385.14286,9916.14286
10/29/20,1352.57143,10292.8571
10/30/20,1469.71429,10190.5714
10/31/20,1531.28571,10463.1429
2011-01-20,1634,10945.4286
2011-02-20,1684.42857,10841.8571
2011-03-20,1651.42857,11403.4286
2011-04-20,1902.14286,11834.8571
2011-05-20,2075.71429,11744
2011-06-20,1970.57143,11973.8571
2011-07-20,2116.14286,12325.8571
2011-08-20,2238.42857,12509.2857
2011-09-20,2310.28571,12333
2011-10-20,2459,12588.2857
2011-11-20,2394.71429,12799.8571
2011-12-20,2562.71429,13368.7143
11/13/20,2951.85714,13441.7143
11/14/20,3159.85714,14318.5714
11/15/20,3183,14451
11/16/20,3461.28571,15273.4286
11/17/20,3630.28571,16139.2857
11/18/20,3853.14286,15733.8571
11/19/20,3964,15964.1429
11/20/20,3871.57143,16541.7143
11/21/20,3848.85714,16308.4286
11/22/20,3920,15465.1429
11/23/20,3761.42857,15287.1429
11/24/20,3499,15092.8571
11/25/20,4324.42857,14720.4286
11/26/20,4304.14286,14640.7143
11/27/20,4585,13710.5714
11/28/20,4780.42857,13089.4286
11/29/20,5160.85714,14019
11/30/20,5468.71429,14070.5714
2012-01-20,5575.14286,14107.8571
2012-02-20,5859.71429,13975.2857
2012-03-20,5946,13192
2012-04-20,5872.57143,13492.2857
2012-05-20,6058.71429,13513.2857
2012-06-20,6241.28571,13716.1429
2012-07-20,6309.42857,14413.1429
2012-08-20,7772.14286,13032
2012-09-20,6603.57143,13468.4286
2012-10-20,6659.71429,13994.1429
2012-11-20,6786.71429,14517.4286
2012-12-20,6879.85714,14331.8571
12/13/20,6520.28571,13916.1429
12/14/20,6450.71429,13562
12/15/20,5871,13921.1429
12/16/20,6119,13795.5714
12/17/20,6293.42857,13877.8571
12/18/20,6469,13658.7143
12/19/20,6323.42857,13538
12/20/20,6401.42857,13812
12/21/20,5820,12731.2857
12/22/20,6154,10993.7143
12/23/20,5715.28571,10975
12/24/20,5602.28571,11261.1429
12/25/20,5698.28571,11160
12/26/20,6190.28571,14158.7143
12/27/20,6587,14296.2857
12/28/20,8863.85714,12950
12/29/20,8159.85714,14711.7143
12/30/20,8607.42857,14919.5714
12/31/20,8884.42857,14962.1429
2001-01-21,9198,13743.4286
2001-02-21,9426.28571,11078.1429
2001-03-21,9742.14286,10931.8571
2001-04-21,8880.28571,13680.4286
2001-05-21,9428.42857,14200.2857
2001-06-21,9803.71429,14125.8571
2001-07-21,9578.42857,13712.7143
2001-08-21,9206.71429,14843.7143
2001-09-21,8847.85714,14215.8571
2001-10-21,8508,13331.8571
2001-11-21,7905.14286,12026.5714
2001-12-21,7391.57143,11452.8571
1/13/21,7085.57143,10854.1429
1/14/21,6973.57143,11171
1/15/21,7271.71429,12657.2857
1/16/21,7122.14286,13008.1429
1/17/21,6922.28571,13426.2857
1/18/21,6956,13916.2857
1/19/21,6944.71429,14141.5714
1/20/21,6706.28571,14488.2857
1/21/21,6859.57143,14151.2857
1/22/21,6184.28571,12071.5714
1/23/21,5745.57143,11301.1429
1/24/21,5431.71429,11042.4286
1/25/21,5118.57143,10753.1429
1/26/21,4892.85714,10094.1429
1/27/21,4634.28571,9874.42857
1/28/21,4116.85714,9817.42857
1/29/21,4080.57143,9825.85714
1/30/21,3908.85714,10233.2857
1/31/21,3673.42857,9575.14286
2002-01-21,3176.14286,10174.5714
2002-02-21,2963.14286,9539.71429
2002-03-21,3169.28571,10588.2857
2002-04-21,3314.83333,10610.8333
2002-05-21,3094.4,10580.4
2002-06-21,2911.5,10151
2002-07-21,2725,11013.6667
2002-08-21,3315.5,8132.5
2002-09-21,4381,14216
